N°,Año,Título,Protagonistas,Director,Género,Ub
7,1997,EL PACIFICADOR,GEORGE CLOONEY,MIMI LEDER,Accion drama,8
20,,EL PADRINO 1,AL PACINO,,"MAFFIA, DRAMA",10
21,,EL PADRINO 2,AL PACINO,,"MAFFIA, DRAMA",10
22,,EL PADRINO 3,AL PACINO,,"MAFFIA, DRAMA",10
12,2000,EL PATRIOTA,Mel Gibson,,"AVENTURA, DRAMA, HISTORIA",6
36,2012,EL PELEADOR,CHRISTIAN BALE,,"BOXEO, DRAMA",1
22,,EL PERFUME,BEN WISHAW-HOFFMAN,,SUSPENSO -CRIMEN,13
3,,EL PERRO,JET LI,,ACCION ARTES MARCIALES,12
13,2002,EL PIANISTA,Adrien Brody,,"DRAMA, ",6
31,2012,EL PODEROSO OZ,,,FANTASIA,16
15,,EL PRECIO DE LA CODICIA,KEVIN SPACEY,,THILLER SUSPENSO,9
9,,EL PREDICADOR ,GERARD BUTLER,,DRAMA GUERRA,12
29,2007,EL PUENTE A TERABITHIA,JOSH HUTCHERSON ,,"Drama, Aventura",2
9,1997,EL QUINTO ELEMENTO,BRUCE WILLIS,,"ACCIÓN, FICCIÓN",1
33,2011,EL REFUGIO,Michael Shannon,,Drama Tornados,7
22,,EL REINO DE LOS MOONRISE,BRUCE WILLIS,,COMEDIA,12
16,,EL REINO PROHIBIDO,JACKIE CHANG-JET LI,,ARTES MARCIALES,11
13,2012,EL REY DEL TAI CHI,KEANU REEVES,,"ACCION, ARTE MARCIALES",16
6,1994,EL REY LEON,,,"Animada, aventura, fam",4
7,1998,EL REY LEON 2,,,"Animada, aventura, fam",4
8,2004,EL REY LEON 3,,,"Animada, aventura, fam",4
14,2012,EL SAMARITANO,Samuel Jackson,,"Drama, Accion Policial",7
29,,EL SEXTO SENTI}DO,BRUCE WILLIS,,SUSPENSO MISTERIO,13
6,1998,EL SHOW DE TRUMAN,Jim Carrey,,"DRAMA, COMEDIA",6
26,,EL SILENCIO DE LOS CORDEROS,ANTHONY HOPKINS,,THRILER PSICOLOGICO,10
20,2012,EL SORPREND HOMBRE ARAÑA,ANDREW GARFIELD,,"Accion, Aventura, Ciencia F.",5
20,2011,EL TOPO,GARY OLDMAN,,"SUSPENSO, POLICIAL",6
12,,EL TREN DE LAS 3:10 A YUMA,R.CROWE - C. BALE,,WESTERN DRAMA,12
39,,EL ÚLTIMMO REY DE ESCOCIA,FORREST WHITAKER,,DRAMA TERROR BIOGRAFICO,13
4,,EL ÚLTIMO EMPERADOR,B. BERTOLUCCI (D),,"ÉPICA, HISTÓRICA",11
19,,EL ÚLTIMO MAESTRO DEL AIRE,NOAH RINGER,,"AVENTURA, MARCIALES",11
39,2003,EL ÚLTIMO SAMURAI,TOM CRUISE,,ÉPICA HISTÓRICA,1
34,2012,EL VUELO,DENZEL WASHINGTON,,"DRAMA, SUSPENSO",15
40,2007,"ELIZABETH, LA EDAD DE ORO",CATE BLANCHETT,,"DRAMA, HISTÓRICO",1
19,,ELYSIUM,,,,16
15,,EMPERADOR,TOMMY LEE JONES,PETER WEBBER,DRAMA HISTORICA,16
40,2012,EN EL ÁRTICO,IMAX,GREG MACGILLIVRAY,DOCUMENTAL,14
16,,EN EL NOMBRE DEL REY,JASON STATHAM,,ACCION EDAD MEDIA,9
17,,EN EL NOMBRE DEL REY II,DOLPH LUNDGREEN,,ACCION EDAD MEDIA,9
29,1999,EN LO PROFUNDO ,Omar Epps,,"Drama, Accion Policial",7
30,,EN LO SALVAJE,EMILE HIRSCH,SEAN PEN,COMEDIA DRAMA,16
24,,EN TRANCE,JAMES MCAVOY,,"ACCION, SUSPENSO",16
10,2007,ENCANTADA,,,"Animada, aventura, fam",4
